,date,count,weekday
696,2018-11-10,5,Saturday
697,2017-07-10,5,Monday
698,2017-05-03,5,Wednesday
699,2017-05-05,5,Friday
700,2016-11-02,5,Wednesday
701,2018-01-12,5,Friday
702,2017-06-20,5,Tuesday
703,2018-02-20,5,Tuesday
704,2017-01-17,5,Tuesday
705,2018-07-09,5,Monday
706,2016-12-06,5,Tuesday
707,2017-10-11,5,Wednesday
708,2018-07-04,5,Wednesday
709,2017-05-02,5,Tuesday
710,2018-08-16,5,Thursday
711,2016-06-07,5,Tuesday
712,2017-07-16,5,Sunday
713,2016-05-25,5,Wednesday
714,2017-04-18,5,Tuesday
715,2018-01-23,5,Tuesday
716,2018-01-22,5,Monday
717,2017-12-18,5,Monday
718,2018-02-28,5,Wednesday
719,2016-07-25,5,Monday
720,2018-02-23,5,Friday
721,2016-05-22,5,Sunday
722,2016-07-30,5,Saturday
723,2017-01-04,5,Wednesday
724,2017-11-19,5,Sunday
725,2016-12-09,5,Friday
726,2017-12-17,4,Sunday
727,2018-11-08,4,Thursday
728,2016-09-25,4,Sunday
729,2017-02-07,4,Tuesday
730,2017-06-26,4,Monday
731,2018-02-01,4,Thursday
732,2017-01-20,4,Friday
733,2017-11-02,4,Thursday
734,2018-06-29,4,Friday
735,2017-12-06,4,Wednesday
736,2019-01-10,4,Thursday
737,2018-05-19,4,Saturday
738,2018-06-14,4,Thursday
739,2018-11-01,4,Thursday
740,2017-09-22,4,Friday
741,2018-08-06,4,Monday
742,2019-01-29,4,Tuesday
743,2017-11-23,4,Thursday
744,2018-04-10,4,Tuesday
745,2016-06-25,4,Saturday
746,2017-09-09,4,Saturday
747,2017-04-25,4,Tuesday
748,2017-11-17,4,Friday
749,2018-08-08,4,Wednesday
750,2017-11-16,4,Thursday
751,2016-10-29,4,Saturday
752,2018-11-25,4,Sunday
753,2017-12-15,4,Friday
754,2016-05-30,4,Monday
755,2017-03-11,4,Saturday
756,2016-07-06,4,Wednesday
757,2018-02-07,4,Wednesday
758,2018-07-01,4,Sunday
759,2017-12-12,4,Tuesday
760,2018-11-27,4,Tuesday
761,2018-06-19,4,Tuesday
762,2017-12-03,4,Sunday
763,2018-06-16,4,Saturday
764,2017-09-05,4,Tuesday
765,2016-05-29,4,Sunday
766,2017-10-09,3,Monday
767,2017-12-22,3,Friday
768,2017-12-02,3,Saturday
769,2018-01-01,3,Monday
770,2016-11-20,3,Sunday
771,2016-11-07,3,Monday
772,2017-11-27,3,Monday
773,2016-06-27,3,Monday
774,2016-05-23,3,Monday
775,2018-11-05,3,Monday
776,2017-11-07,3,Tuesday
777,2017-10-25,3,Wednesday
778,2017-10-15,3,Sunday
779,2017-12-24,3,Sunday
780,2017-03-07,3,Tuesday
781,2018-07-20,3,Friday
782,2017-01-26,3,Thursday
783,2017-02-21,3,Tuesday
784,2016-06-01,3,Wednesday
785,2018-02-11,3,Sunday
786,2018-01-24,3,Wednesday
787,2018-07-29,3,Sunday
788,2018-06-24,3,Sunday
789,2018-01-21,3,Sunday
790,2016-10-11,3,Tuesday
791,2016-07-19,3,Tuesday
792,2018-02-25,3,Sunday
793,2018-02-15,3,Thursday
794,2018-07-07,3,Saturday
795,2017-04-14,3,Friday
796,2016-07-24,3,Sunday
797,2016-10-27,3,Thursday
798,2018-07-26,3,Thursday
799,2018-08-09,3,Thursday
800,2017-11-30,3,Thursday
801,2016-07-08,3,Friday
802,2018-07-27,3,Friday
803,2018-07-02,3,Monday
804,2017-07-01,3,Saturday
805,2016-07-29,3,Friday
806,2017-03-02,3,Thursday
807,2017-07-06,3,Thursday
808,2018-12-31,3,Monday
809,2017-11-05,3,Sunday
810,2018-12-14,3,Friday
811,2017-11-21,3,Tuesday
812,2017-02-22,3,Wednesday
813,2016-07-13,3,Wednesday
814,2018-03-03,3,Saturday
815,2018-07-06,3,Friday
816,2018-06-21,3,Thursday
817,2018-11-22,3,Thursday
818,2018-01-10,2,Wednesday
819,2019-02-18,2,Monday
820,2019-02-02,2,Saturday
821,2016-12-30,2,Friday
822,2017-01-07,2,Saturday
823,2016-05-19,2,Thursday
824,2018-06-13,2,Wednesday
825,2018-12-11,2,Tuesday
826,2016-06-20,2,Monday
827,2018-02-02,2,Friday
828,2017-09-12,2,Tuesday
829,2016-10-20,2,Thursday
830,2018-07-10,2,Tuesday
831,2018-07-17,2,Tuesday
832,2016-06-19,2,Sunday
833,2019-01-22,2,Tuesday
834,2018-12-17,2,Monday
835,2019-02-05,2,Tuesday
836,2017-01-22,2,Sunday
837,2016-07-12,2,Tuesday
838,2018-12-05,2,Wednesday
839,2018-12-28,2,Friday
840,2018-03-30,2,Friday
841,2017-12-04,2,Monday
842,2017-01-16,2,Monday
843,2016-05-17,2,Tuesday
844,2018-11-18,2,Sunday
845,2018-12-12,2,Wednesday
846,2016-11-14,2,Monday
847,2016-05-26,2,Thursday
848,2016-12-27,2,Tuesday
849,2018-11-20,2,Tuesday
850,2018-07-18,2,Wednesday
851,2016-06-28,2,Tuesday
852,2016-12-14,2,Wednesday
853,2019-01-03,2,Thursday
854,2016-05-21,2,Saturday
855,2019-02-20,2,Wednesday
856,2016-12-21,2,Wednesday
